Unnamed: 0,n,n_discordant,accuracy_a,accuracy_b,statistic,p_value,language,model,significance
0,530,4,0.9528301886792452,0.9490566037735848,0.25,0.6170750774519739,es,systran,
1,530,8,0.9056603773584906,0.9169811320754716,3.125,0.077099871743542,fr,systran,
2,530,22,0.8037735849056604,0.8,0.0454545454545454,0.8311704095417624,it,systran,
3,530,43,0.5132075471698113,0.5075471698113208,0.0930232558139534,0.7603683300552028,ar,systran,
4,530,25,0.5113207547169811,0.5094339622641509,0.0,1.0,ru,systran,
5,530,28,0.490566037735849,0.5094339622641509,2.892857142857143,0.0889730117018132,uk,systran,
6,530,71,0.6754716981132075,0.6056603773584905,18.253521126760564,1.9336816600800146e-05,he,systran,***
0,530,42,0.9056603773584906,0.8264150943396227,40.023809523809526,2.508860953006117e-10,es,deepl,***
1,530,18,0.9245283018867924,0.8943396226415095,12.5,0.0004069520174449,fr,deepl,***
2,530,31,0.7622641509433963,0.7188679245283018,15.612903225806452,7.772240795323116e-05,it,deepl,***
3,530,51,0.6320754716981132,0.6226415094339622,0.3137254901960784,0.5754030229127534,ar,deepl,
4,530,47,0.5792452830188679,0.5245283018867924,16.680851063829788,4.42251621479542e-05,ru,deepl,***
5,530,62,0.6716981132075471,0.6150943396226415,13.564516129032258,0.0002305018279464,uk,deepl,***
6,530,15,0.8867924528301887,0.8660377358490566,6.666666666666667,0.0098232745075192,he,deepl,**
0,530,57,0.8490566037735849,0.7452830188679245,51.1578947368421,8.522722588724522e-13,es,google_llm,***
1,530,23,0.8905660377358491,0.8622641509433963,8.521739130434783,0.003509289704745,fr,google_llm,**
2,530,35,0.720754716981132,0.6622641509433962,25.714285714285715,3.95885676595604e-07,it,google_llm,***
3,530,50,0.6433962264150943,0.6283018867924528,0.98,0.3221988061625787,ar,google_llm,
4,530,34,0.6056603773584905,0.5830188679245283,3.5588235294117645,0.0592297037272794,ru,google_llm,
5,530,28,0.7037735849056603,0.6811320754716981,4.321428571428571,0.0376353137873143,uk,google_llm,*
6,530,29,0.8037735849056604,0.7603773584905661,16.689655172413794,4.402038910988803e-05,he,google_llm,***
0,530,26,0.8301886792452831,0.7962264150943397,11.115384615384617,0.0008561456864208,es,microsoft,***
1,530,23,0.7830188679245284,0.7471698113207547,14.08695652173913,0.0001745500267034,fr,microsoft,***
2,530,23,0.6679245283018868,0.6735849056603773,0.1739130434782608,0.6766573217164242,it,microsoft,
3,530,56,0.6018867924528302,0.5830188679245283,1.4464285714285714,0.2291018840650552,ar,microsoft,
4,530,24,0.560377358490566,0.5490566037735849,1.0416666666666667,0.3074341659273923,ru,microsoft,
5,530,34,0.6716981132075471,0.6415094339622641,6.617647058823529,0.0100973146475072,uk,microsoft,*
6,530,27,0.8150943396226416,0.7716981132075472,17.925925925925927,2.2967108733407456e-05,he,microsoft,***
0,530,8,0.969811320754717,0.969811320754717,0.125,0.7236736098317629,es,gpt-4o,
1,530,26,0.9415094339622642,0.9339622641509434,0.3461538461538461,0.5562984612747348,fr,gpt-4o,
2,530,26,0.8924528301886793,0.8811320754716981,0.9615384615384616,0.3267995676689632,it,gpt-4o,
3,530,110,0.6358490566037736,0.6773584905660377,4.009090909090909,0.045255546185962,ar,gpt-4o,*
4,530,87,0.6886792452830188,0.7245283018867924,3.724137931034482,0.053631305853387,ru,gpt-4o,
5,530,69,0.7830188679245284,0.8037735849056604,1.4492753623188406,0.2286442623410733,uk,gpt-4o,
6,530,41,0.8867924528301887,0.8660377358490566,2.4390243902439024,0.1183498127356284,he,gpt-4o,
0,530,57,0.8490566037735849,0.7452830188679245,51.1578947368421,8.522722588724522e-13,es,google,***
1,530,22,0.8886792452830189,0.8622641509433963,7.681818181818182,0.0055779940033982,fr,google,**
2,530,35,0.720754716981132,0.6622641509433962,25.714285714285715,3.95885676595604e-07,it,google,***
3,530,51,0.6358490566037736,0.6226415094339622,0.7058823529411765,0.4008141693829342,ar,google,
4,530,35,0.6075471698113207,0.5792452830188679,5.6,0.0179604775260787,ru,google,*
5,530,28,0.7037735849056603,0.6811320754716981,4.321428571428571,0.0376353137873143,uk,google,*
6,530,30,0.8018867924528302,0.7603773584905661,14.7,0.0001260464501208,he,google,***
