model,language,accuracy_baseline,accuracy_trans,diff_pp
google,es,0.5491949910554562,0.6160377358490566,6.684274479360042
google,fr,0.5769230769230769,0.6113207547169811,3.4397677793904236
google,it,0.5107334525939177,0.5566037735849056,4.587032099098797
google,ar,0.49821109123434704,0.5386792452830189,4.046815404867187
google,ru,0.4588550983899821,0.5330188679245284,7.416376953454623
google,uk,0.47942754919499103,0.5650943396226416,8.566679042765053
google,he,0.5715563506261181,0.6056603773584905,3.410402673237245
google_llm,es,0.5483005366726297,0.6160377358490566,6.773719917642696
google_llm,fr,0.5778175313059034,0.6113207547169811,3.35032234110777
google_llm,it,0.5098389982110912,0.5566037735849056,4.676477537381441
google_llm,ar,0.4991055456171735,0.5386792452830189,3.9573699665845394
google_llm,ru,0.4588550983899821,0.5339622641509434,7.510716576096127
google_llm,uk,0.47942754919499103,0.5679245283018868,8.849697910689574
google_llm,he,0.5706618962432916,0.6056603773584905,3.4998481115198987
deepl,es,0.5974955277280859,0.6320754716981132,3.4579943970027283
deepl,fr,0.8291592128801432,0.879245283018868,5.00860701387248
deepl,it,0.5295169946332737,0.5688679245283019,3.9350929895028197
deepl,ar,0.49105545617173524,0.5613207547169812,7.026529854524593
deepl,ru,0.4338103756708408,0.4981132075471698,6.430283187632901
deepl,uk,0.49016100178890876,0.5235849056603774,3.342390387146865
deepl,he,0.8041144901610018,0.8745283018867924,7.041381172579064
microsoft,es,0.5500894454382826,0.6056603773584905,5.55709319202079
microsoft,fr,0.5509838998211091,0.5886792452830188,3.769534546190978
microsoft,it,0.518783542039356,0.5688679245283019,5.008438248894597
microsoft,ar,0.47227191413237923,0.5226415094339623,5.036959530158303
microsoft,ru,0.45348837209302323,0.5113207547169811,5.78323826239579
microsoft,uk,0.47227191413237923,0.5132075471698113,4.093563303743208
microsoft,he,0.5438282647584973,0.5877358490566038,4.390758429810648
systran,es,0.8586762075134168,0.9198113207547169,6.113511324130016
systran,fr,0.8443649373881932,0.8924528301886793,4.808789280048609
systran,it,0.7209302325581395,0.7547169811320755,3.3786748573936043
systran,ar,0.4597495527728086,0.49528301886792453,3.5533466095115926
systran,ru,0.44364937388193204,0.49433962264150944,5.069024875957739
systran,uk,0.4516994633273703,0.469811320754717,1.8111857427346667
systran,he,0.5223613595706619,0.5679245283018868,4.556316873122491
gpt-4o,es,0.9033989266547406,0.9292452830188679,2.5846356364127243
gpt-4o,fr,0.8846153846153846,0.9028301886792452,1.8214804063860668
gpt-4o,it,0.8255813953488372,0.8386792452830188,1.3097849934181616
gpt-4o,ar,0.6323792486583184,0.7877358490566038,15.535660039828535
gpt-4o,ru,0.5948121645796064,0.7688679245283019,17.405575994869547
gpt-4o,uk,0.7289803220035778,0.8811320754716981,15.215175346812037
gpt-4o,he,0.8148479427549195,0.8726415094339622,5.7793566679042785
