,n,n_discordant,accuracy_a,accuracy_b,statistic,p_value,language,model
0,530,26,0.8301886792452831,0.7962264150943397,11.115384615384615,0.0008561456864208784,es,microsoft
1,530,23,0.7830188679245284,0.7471698113207547,14.08695652173913,0.00017455002670346066,fr,microsoft
2,530,23,0.6679245283018868,0.6735849056603773,0.17391304347826086,0.6766573217164242,it,microsoft
3,530,56,0.6018867924528302,0.5830188679245283,1.4464285714285714,0.22910188406505527,ar,microsoft
4,530,24,0.560377358490566,0.5490566037735849,1.0416666666666667,0.30743416592739237,ru,microsoft
5,530,34,0.6716981132075471,0.6415094339622641,6.617647058823529,0.01009731464750722,uk,microsoft
6,530,27,0.8150943396226416,0.7716981132075472,17.925925925925927,2.296710873340745e-05,he,microsoft
