,n,n_MASCULINE,n_FEMININE,skew_toward,p_value,language,model
0,211,114,97,MASCULINE,0.27064615203037523,es,microsoft
1,214,98,116,FEMININE,0.24513297056695993,fr,microsoft
2,222,150,72,MASCULINE,1.7884410099567013e-07,it,microsoft
3,208,129,79,MASCULINE,0.000644446405811717,ar,microsoft
4,233,208,25,MASCULINE,4.259840288004642e-37,ru,microsoft
5,243,185,58,MASCULINE,1.2178137402332532e-16,uk,microsoft
6,286,80,206,FEMININE,5.6587572259826735e-14,he,microsoft
