,n,n_discordant,accuracy_a,accuracy_b,statistic,p_value,language,model
0,530,8,0.969811320754717,0.969811320754717,0.125,0.7236736098317629,es,gpt-4o
1,530,26,0.9415094339622642,0.9339622641509434,0.34615384615384615,0.5562984612747348,fr,gpt-4o
2,530,26,0.8924528301886793,0.8811320754716981,0.9615384615384616,0.3267995676689632,it,gpt-4o
3,530,110,0.6358490566037736,0.6773584905660377,4.009090909090909,0.04525554618596209,ar,gpt-4o
4,530,87,0.6886792452830188,0.7245283018867924,3.7241379310344827,0.053631305853387046,ru,gpt-4o
5,530,69,0.7830188679245284,0.8037735849056604,1.4492753623188406,0.2286442623410733,uk,gpt-4o
6,530,41,0.8867924528301887,0.8660377358490566,2.4390243902439024,0.11834981273562868,he,gpt-4o
