,n_a,n_b,accuracy_a,accuracy_b,chi2,p_value,language,model
0,530,530,0.8490566037735849,0.7452830188679245,17.013678271638916,3.7111505072997054e-05,es,google_llm
1,530,530,0.8905660377358491,0.8622641509433963,1.7071627540078391,0.19135390284193685,fr,google_llm
2,530,530,0.720754716981132,0.6622641509433962,3.980124410178104,0.04604016259260185,it,google_llm
3,530,530,0.6433962264150943,0.6283018867924528,0.1996433019172522,0.655008916593118,ar,google_llm
4,530,530,0.6056603773584905,0.5830188679245283,0.47345884090070134,0.4914002287851521,ru,google_llm
5,530,530,0.7037735849056603,0.6811320754716981,0.5360157804115612,0.46408862285754293,uk,google_llm
6,530,530,0.8037735849056604,0.7603773584905661,2.6790740421621004,0.10167483237334311,he,google_llm
