,n,n_MASCULINE,n_FEMININE,skew_toward,p_value,language,model
0,226,141,85,MASCULINE,0.0002372722850219294,es,google_llm
1,219,93,126,FEMININE,0.030356739803954244,fr,google_llm
2,239,184,55,MASCULINE,1.922259173813222e-17,it,google_llm
3,195,89,106,FEMININE,0.25182239587374894,ar,google_llm
4,226,176,50,MASCULINE,1.2175596600084536e-17,ru,google_llm
5,238,201,37,MASCULINE,1.7989340839776857e-28,uk,google_llm
6,288,40,248,FEMININE,8.128993898431271e-38,he,google_llm
