,language,coefficient,odds_ratio,p_value,ci_lower,ci_upper,n_observations,significance
0,es,0.6441251841443373,1.904320370713986,3.347177164451352e-101,1.7950147212920142,2.0202820797514236,6348,***
1,fr,0.4665388130495786,1.594465886964782,2.7002864021677205e-54,1.5032154855310813,1.6912555047263866,6348,***
2,it,0.6478955719915295,1.9115139498667078,9.851319043911094e-115,1.8078139396576307,2.0211624107882513,6348,***
3,ar,0.2846454474625766,1.3292906411908882,1.1088661117352347e-27,1.2629862358397475,1.3990759032958204,6348,***
4,ru,0.4758508036959694,1.6093828840674138,6.660647242142893e-72,1.5278167925119936,1.695303573192539,6348,***
5,uk,0.4145014991631399,1.5136160137421342,4.9995262810749927e-54,1.4362111331783955,1.5951926455175676,6348,***
6,he,-0.06279117002167077,0.939139573709465,0.02285387531931151,0.8897039270051949,0.991322070338626,6348,*
