,n,n_MASCULINE,n_FEMININE,skew_toward,p_value,language,model,significance
0,201,129,72,MASCULINE,7.051394532266082e-05,es,google,***
1,193,84,109,FEMININE,0.0838015452101863,fr,google,
2,216,171,45,MASCULINE,1.7302110380366015e-18,it,google,***
3,179,83,96,FEMININE,0.36980577503694045,ar,google,
4,204,163,41,MASCULINE,2.044471159128199e-18,ru,google,***
5,214,186,28,MASCULINE,8.235579034487023e-30,uk,google,***
6,259,34,225,FEMININE,1.0058878590547347e-35,he,google,***
