,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,3,3,3,3,3,3,3
total,1060,1060,1060,1060,1060,1060,1060
correct,651,648,585,572,560,587,642
accuracy,0.6141509433962264,0.6113207547169811,0.5518867924528302,0.539622641509434,0.5283018867924528,0.5537735849056604,0.6056603773584905
true_error_count,354,349,376,294,374,364,418
unknown_count,55,63,99,194,126,109,0
error_m_to_f,63,81,59,59,53,35,220
error_m_to_u,27,37,48,83,56,48,0
error_f_to_m,291,268,317,235,311,322,198
error_f_to_u,28,26,51,111,70,61,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,6,4,0
error_f_to_n,0,0,0,0,4,3,0
