,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,4,4,4,4,4,4,4
total,1060,1060,1060,1060,1060,1060,1060
correct,938,960,762,785,706,832,869
accuracy,0.8849056603773585,0.9056603773584906,0.7188679245283018,0.7405660377358491,0.6660377358490566,0.7849056603773585,0.819811320754717
true_error_count,69,52,177,78,230,115,191
unknown_count,53,48,121,197,124,113,0
error_m_to_f,23,24,39,9,35,13,174
error_m_to_u,25,20,48,69,50,47,0
error_f_to_m,46,28,138,69,187,98,17
error_f_to_u,28,28,73,128,74,66,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,6,2,0
error_f_to_n,0,0,0,0,2,2,0
