,n,n_MASCULINE,n_FEMININE,skew_toward,p_value,language,model,significance
0,201,129,72,MASCULINE,7.051394532266082e-05,es,google_llm,***
1,194,85,109,FEMININE,0.09842638832808605,fr,google_llm,
2,215,170,45,MASCULINE,2.7450329693018597e-18,it,google_llm,***
3,179,83,96,FEMININE,0.36980577503694045,ar,google_llm,
4,204,163,41,MASCULINE,2.044471159128199e-18,ru,google_llm,***
5,214,186,28,MASCULINE,8.235579034487023e-30,uk,google_llm,***
6,260,35,225,FEMININE,3.755544324590483e-35,he,google_llm,***
