,n_a,n_b,accuracy_a,accuracy_b,chi2,p_value,language,model
0,530,530,0.9528301886792453,0.9490566037735849,0.020222832722832724,0.8869164975810051,es,systran
1,530,530,0.9056603773584906,0.9169811320754717,0.29183736399277566,0.5890455030370825,fr,systran
2,530,530,0.8037735849056604,0.8,0.005938375350140057,0.938575133666246,it,systran
3,530,530,0.5132075471698113,0.5075471698113208,0.015100844436371667,0.9021977733122096,ar,systran
4,530,530,0.5113207547169811,0.5094339622641509,0.0,1.0,ru,systran
5,530,530,0.49056603773584906,0.5094339622641509,0.30566037735849055,0.5803554409777976,uk,systran
6,530,530,0.6754716981132075,0.6056603773584905,5.310264052045041,0.021200142915629203,he,systran
