,n,n_MASCULINE,n_FEMININE,skew_toward,p_value,language,model
0,69,44,25,MASCULINE,0.029493493531317295,es,systran
1,114,75,39,MASCULINE,0.0009591967698984266,fr,systran
2,87,58,29,MASCULINE,0.002479419793816073,it,systran
3,212,145,67,MASCULINE,8.927276805650906e-08,ar,systran
4,237,212,25,MASCULINE,4.160467417441331e-38,ru,systran
5,239,212,27,MASCULINE,8.517792830819413e-37,uk,systran
6,282,80,202,FEMININE,2.4462381567773716e-13,he,systran
