Code;Bezeichnung;Niveau;Misc
261;Mechatronik und Automatisierungstechnik;;
2610;Berufe Mechatr.,Automatisierungst.(o.S.);;
26102;Mechatr,Automatisierungs(o.S.) - Fachkraft;Fachkraefte;
2611;Berufe in der Mechatronik;;
26112;Mechatronik - Fachkraft;Fachkraefte;
26113;Mechatronik - Spezialist;Spezialisten;
26114;Mechatronik - Experte;Experten;
2612;Berufe in der Automatisierungstechnik;;
26122;Automatisierungstechnik - Fachkraft;Fachkraefte;
26123;Automatisierungstechnik - Spezialist;Spezialisten;
26124;Automatisierungstechnik - Experte;Experten;
2619;Aufsicht-Mechatronik,Automatisierungst.;;Aufsicht
26193;Aufsicht-Mechatronik,Automatisierungst.;;Aufsicht
262;Energietechnik;;
2621;Berufe in der Bauelektrik;;
26212;Bauelektrik - Fachkraft;Fachkraefte;
26213;Bauelektrik - Spezialist;Spezialisten;
2622;Berufe in der Elektromaschinentechnik;;
26222;Elektromaschinentechnik - Fachkraft;Fachkraefte;
26223;Elektromaschinentechnik - Spezialist;Spezialisten;
2623;Berufe i.d. Energie-, Kraftwerkstechnik;;
26232;Energie-, Kraftwerkstechnik - Fachkraft;Fachkraefte;
26233;Energie-, Kraftwerkstechnik - Spezialist;Spezialisten;
26234;Energie-, Kraftwerkstechnik - Experte;Experten;
2624;Berufe i.d. regenerativen Energietechnik;;
26242;Regenerative Energietechnik - Fachkraft;Fachkraefte;
26243;Regenerative Energietechnik - Spezialist;Spezialisten;
26244;Regenerative Energietechnik - Experte;Experten;
2625;Berufe i.d. elektrischen Betriebstechnik;;
26252;Elektrische Betriebstechnik - Fachkraft;Fachkraefte;
26253;Elektrische Betriebstechnik - Spezialist;Spezialisten;
2626;Berufe Leitungsinstallation,-wartung;;
26262;Leitungsinstallation,-wartung -Fachkraft;Fachkraefte;
26263;Leitungsinstallation,-wartung-Spezialist;Spezialisten;
26264;Leitungsinstallation,-wartung - Experte;Experten;
2629;Aufsicht - Energietechnik;;Aufsicht
26293;Aufsicht - Energietechnik;;Aufsicht
263;Elektrotechnik;;
2630;Berufe in der Elektrotechnik (o.S.);;
26301;Elektrotechnik (o.S.) - Helfer;Helfer;
26302;Elektrotechnik (o.S.) - Fachkraft;Fachkraefte;
26303;Elektrotechnik (o.S.) - Spezialist;Spezialisten;
26304;Elektrotechnik (o.S.) - Experte;Experten;
2631;Berufe Informations,Telekommunikationst.;;
26312;Inform-,Telekommunikationst.-Fachkraft;Fachkraefte;
26313;Inform-,Telekommunikationst.-Spezialist;Spezialisten;
26314;Inform-,Telekommunikationst.-Experte;Experten;
2632;Berufe in der Mikrosystemtechnik;;
26322;Mikrosystemtechnik - Fachkraft;Fachkraefte;
26323;Mikrosystemtechnik - Spezialist;Spezialisten;
26324;Mikrosystemtechnik - Experte;Experten;
2633;Berufe Luftver.,Schiff,Fahrzeugelektron.;;
26332;Luftv.Schiff,Fahrzeugelektron.-Fachkraft;Fachkraefte;
26333;Luftv.Schiff,Fahrzeugelektron-Spezialist;Spezialisten;
26334;Luftv.Schiff,Fahrzeugelektronik-Experte;Experten;
2638;Berufe in der Elektrotechnik (s.s.T.);;
26382;Elektrotechnik (s.s.T.) - Fachkraft;Fachkraefte;
26383;Elektrotechnik (s.s.T.) - Spezialist;Spezialisten;
26384;Elektrotechnik (s.s.T.) - Experte;Experten;
2639;Aufsicht - Elektrotechnik;;Aufsicht
26393;Aufsicht - Elektrotechnik;;Aufsicht
27;Techn.Entwickl.Konstr.Produktionssteuer.;;
271;Technische Forschung und Entwicklung;;
2710;Berufe tech. Forschung, Entwicklung (oS);;
27103;Techn.Forschung,Entwickl.(oS)-Spezialist;Spezialisten;
27104;Techn.Forschung,Entwickl.(oS)-Experte;Experten;
2718;Berufe tech.Forschung, Entwicklung (ssT);;
27182;Tech.Forschung,Entwickl.(ssT)-Fachkraft;Fachkraefte;
27183;Tech.Forschung,Entwickl.(ssT)-Spezialist;Spezialisten;
27184;Tech.Forschung,Entwickl.(ssT)-Experte;Experten;
2719;Führung - Techn. Forschung, Entwicklung;;Führung
27194;Führung - Techn. Forschung, Entwicklung;;Führung
272;Techn. Zeichnen, Konstruktion, Modellbau;;
2721;Technische Zeichner/innen;;
27212;Technische Zeichner/innen - Fachkraft;Fachkraefte;
2722;Berufe i.d. Konstruktion u. im Gerätebau;;
27223;Konstruktion und Gerätebau - Spezialist;Spezialisten;
27224;Konstruktion und Gerätebau - Experte;Experten;
2723;Berufe im Modellbau;;
27232;Modellbau - Fachkraft;Fachkraefte;
2728;Techn.Zeichnen, Konstrukt.,Modellb.(ssT);;
27282;TechZeich,Konstr,Modellb.(ssT)-Fachkraft;Fachkraefte;
27283;TechZeich,Konstr,Modellb(ssT)-Spezialist;Spezialisten;
27284;TechZeich.,Konstr.,Modellb.(ssT)-Experte;Experten;
2729;Aufsicht,Führung-TechZeich.Konstr.Modell;;Aufsicht
27293;Aufsicht-TechZeichnen,Konstrukt.Modellb.;;Aufsicht
27294;Führung-TechZeichnen,Konstrukt.Modellb.;;Führung
273;Technische Produktionsplanung,-steuerung;;
2730;Berufe tech. Produktionsplan.,-steuerung;;
27302;Tech.Produktionspl.,-steuerung-Fachkraft;Fachkraefte;
27303;Tech.Produktionspl.,steuerung-Spezialist;Spezialisten;
27304;Tech.Produktionspl.,-steuerung-Experte;Experten;
2731;Berufe technische Qualitätssicherung;;
27312;Technische Qualitätssicherung-Fachkraft;Fachkraefte;
27313;Technische Qualitätssicherung-Spezialist;Spezialisten;
27314;Technische Qualitätssicherung - Experte;Experten;
2739;Aufsicht,Führung-Produktionsplan,steuer.;;Aufsicht
27393;Aufsicht-Techn.Produktionsplan.,-steuer.;;Aufsicht
27394;Führung- Techn.Produktionsplan.,-steuer.;;Führung
