Code;Bezeichnung;Niveau;Misc
34;Gebäude- u. versorgungstechnische Berufe;;
341;Gebäudetechnik;;
3410;Berufe in der Gebäudetechnik (o.S.);;
34102;Gebäudetechnik (o.S.) - Fachkraft;Fachkraefte;
34103;Gebäudetechnik (o.S.) - Spezialist;Spezialisten;
34104;Gebäudetechnik (o.S.) - Experte;Experten;
3411;Platz-, Gerätewarte/innen;;
34112;Platz-, Gerätewarte/innen - Fachkraft;Fachkraefte;
3419;Aufsicht - Gebäudetechnik;;Aufsicht
34193;Aufsicht - Gebäudetechnik;;Aufsicht
342;Klempnerei,Sanitär,Heizung,Klimatechnik;;
3420;Berufe in der Klempnerei (o.S.);;
34201;Klempnerei (o.S.) - Helfer;Helfer;
34202;Klempnerei (o.S.) - Fachkraft;Fachkraefte;
34203;Klempnerei (o.S.) - Spezialist;Spezialisten;
3421;Berufe Sanitär-, Heizungs-, Klimatechnik;;
34212;Sanitär,Heizung,Klimatechnik - Fachkraft;Fachkraefte;
34213;Sanitär,Heizung,Klimatechnik -Spezialist;Spezialisten;
34214;Sanitär,Heizung,Klimatechnik - Experte;Experten;
3422;Berufe im Ofen- und Luftheizungsbau;;
34222;Ofen- und Luftheizungsbau - Fachkraft;Fachkraefte;
3423;Berufe in der Kältetechnik;;
34232;Kältetechnik - Fachkraft;Fachkraefte;
34233;Kältetechnik - Spezialist;Spezialisten;
34234;Kältetechnik - Experte;Experten;
3429;Aufsicht-Klemp.Sanitär,Heizung,Klimatech;;Aufsicht
34293;Aufsicht-Klemp.Sanitär,Heizung,Klimatech;;Aufsicht
343;Ver- und Entsorgung;;
3430;Berufe in der Ver- und Entsorgung (o.S.);;
34301;Ver- und Entsorgung (o.S.) - Helfer;Helfer;
34302;Ver- und Entsorgung (o.S.) - Fachkraft;Fachkraefte;
34303;Ver- und Entsorgung (o.S.) - Spezialist;Spezialisten;
34304;Ver- und Entsorgung (o.S.) - Experte;Experten;
3431;Berufe Wasserversorgung,Abwassertechnik;;
34312;Wasserversorg.,Abwassertechn.-Fachkraft;Fachkraefte;
34313;Wasserversorg.,Abwassertechn.-Spezialist;Spezialisten;
34314;Wasserversorg.,Abwassertechn.-Experte;Experten;
3432;Berufe im Rohrleitungsbau;;
34322;Rohrleitungsbau - Fachkraft;Fachkraefte;
34323;Rohrleitungsbau - Spezialist;Spezialisten;
34324;Rohrleitungsbau - Experte;Experten;
3433;Berufe in der Abfallwirtschaft;;
34332;Abfallwirtschaft - Fachkraft;Fachkraefte;
34333;Abfallwirtschaft - Spezialist;Spezialisten;
34334;Abfallwirtschaft - Experte;Experten;
3434;Berufe Anlagen-, Behälter-, Apparatebau;;
34342;Anlagen-,Behälter-,Apparatebau-Fachkraft;Fachkraefte;
34343;Anlage-,Behälter-,Apparatebau-Spezialist;Spezialisten;
34344;Anlagen-,Behälter-,Apparatebau-Experte;Experten;
3439;Aufsicht - Ver- und Entsorgung;;Aufsicht
34393;Aufsicht - Ver- und Entsorgung;;Aufsicht
4;Naturwissenschaft, Geografie, Informatik;;
41;Mathematik-Biologie-Chemie-,Physikberufe;;
411;Mathematik und Statistik;;
4110;Berufe in der Mathematik (o.S.);;
41103;Mathematik (o.S.) - Spezialist;Spezialisten;
41104;Mathematik (o.S.) - Experte;Experten;
4111;Berufe in der Statistik;;
41114;Statistik - Experte;Experten;
4118;Berufe in der Mathematik (s.s.T.);;
41184;Mathematik (s.s.T.) - Experte;Experten;
4119;Führung - Mathematik und Statistik;;Führung
41194;Führung - Mathematik und Statistik;;Führung
412;Biologie;;
4120;Berufe in der Biologie (o.S.);;
41203;Biologie (o.S.) - Spezialist;Spezialisten;
41204;Biologie (o.S.) - Experte;Experten;
4121;Berufe im biologisch-techn. Laboratorium;;
41212;Biologisch-techn. Laboratorium-Fachkraft;Fachkraefte;
41213;Biologisch-techn.Laboratorium-Spezialist;Spezialisten;
41214;Biologisch-techn.Laboratorium-Experte;Experten;
4122;Berufe in der biologischen Präparation;;
41222;Biologische Präparation - Fachkraft;Fachkraefte;
4123;Berufe in der Biologie (Ökologie);;
41234;Biologie (Ökologie) - Experte;Experten;
4124;Berufe in der Biologie (Botanik);;
41244;Biologie (Botanik) - Experte;Experten;
4125;Berufe in der Biologie (Zoologie);;
41254;Biologie (Zoologie) - Experte;Experten;
4126;Berufe in der Biologie (Mikrobiologie);;
41264;Biologie (Mikrobiologie) - Experte;Experten;
4127;Berufe in der Biologie (Humanbiologie);;
41274;Biologie (Humanbiologie) - Experte;Experten;
4128;Berufe in der Biologie (s.s.T.);;
41283;Biologie (s.s.T.) - Spezialist;Spezialisten;
41284;Biologie (s.s.T.) - Experte;Experten;
4129;Aufsicht und Führung - Biologie;;Aufsicht
41293;Aufsicht - Biologie;;Aufsicht
41294;Führung - Biologie;;Führung
413;Chemie;;
4130;Berufe in der Chemie (o.S.);;
41303;Chemie (o.S.) - Spezialist;Spezialisten;
41304;Chemie (o.S.) - Experte;Experten;
4131;Berufe in der Chemie- und Pharmatechnik;;
41311;Chemie- und Pharmatechnik - Helfer;Helfer;
41312;Chemie- und Pharmatechnik - Fachkraft;Fachkraefte;
41313;Chemie- und Pharmatechnik - Spezialist;Spezialisten;
41314;Chemie- und Pharmatechnik - Experte;Experten;
4132;Berufe im chemisch-techn. Laboratorium;;
41322;Chemisch-techn. Laboratorium - Fachkraft;Fachkraefte;
41323;Chemisch-techn.Laboratorium - Spezialist;Spezialisten;
41324;Chemisch-techn.Laboratorium - Experte;Experten;
4133;Steuerer chemische Verfahrensanlagen;;
41333;Steuerer chem. Verfahrensanl.-Spezialist;Spezialisten;
4134;Steuerer Erdöl-,Erdgasraffinationsanlag.;;
41343;Steuerer Erdöl,Erdgasraf.anl.-Spezialist;Spezialisten;
4138;Berufe in der Chemie (s.s.T.);;
41383;Chemie (s.s.T.) - Spezialist;Spezialisten;
41384;Chemie (s.s.T.) - Experte;Experten;
4139;Aufsicht und Führung - Chemie;;Aufsicht
41393;Aufsicht - Chemie;;Aufsicht
41394;Führung - Chemie;;Führung
414;Physik;;
4140;Berufe in der Physik (o.S.);;
41403;Physik (o.S.) - Spezialist;Spezialisten;
41404;Physik (o.S.) - Experte;Experten;
4141;Berufe physikalisch-techn. Laboratorium;;
41412;Physikalisch-tech.Laboratorium-Fachkraft;Fachkraefte;
41413;Physikal.-techn. Laboratorium-Spezialist;Spezialisten;
41414;Physikalisch-techn. Laboratorium-Experte;Experten;
4142;Berufe in der Werkstofftechnik;;
41422;Werkstofftechnik - Fachkraft;Fachkraefte;
41423;Werkstofftechnik - Spezialist;Spezialisten;
41424;Werkstofftechnik - Experte;Experten;
4143;Berufe in der Baustoffprüfung;;
41432;Baustoffprüfung - Fachkraft;Fachkraefte;
41433;Baustoffprüfung - Spezialist;Spezialisten;
41434;Baustoffprüfung - Experte;Experten;
4148;Berufe in der Physik (s.s.T.);;
41482;Physik (s.s.T.) - Fachkraft;Fachkraefte;
41483;Physik (s.s.T.) - Spezialist;Spezialisten;
41484;Physik (s.s.T.) - Experte;Experten;
4149;Aufsicht und Führung - Physik;;Aufsicht
41493;Aufsicht - Physik;;Aufsicht
41494;Führung - Physik;;Führung
42;Geologie-,Geografie-,Umweltschutzberufe;;
421;Geologie, Geografie und Meteorologie;;
4211;Berufe in der Geotechnik;;
42112;Geotechnik - Fachkraft;Fachkraefte;
42113;Geotechnik - Spezialist;Spezialisten;
42114;Geotechnik - Experte;Experten;
4212;Berufe in der Geologie;;
42124;Geologie - Experte;Experten;
4213;Berufe in der Geografie;;
42134;Geografie - Experte;Experten;
4214;Berufe in der Meteorologie;;
42142;Meteorologie - Fachkraft;Fachkraefte;
42143;Meteorologie - Spezialist;Spezialisten;
42144;Meteorologie - Experte;Experten;
422;Umweltschutztechnik;;
4220;Berufe in der Umweltschutztechnik (o.S.);;
42202;Umweltschutztechnik (o.S.) - Fachkraft;Fachkraefte;
42203;Umweltschutztechnik (o.S.) - Spezialist;Spezialisten;
42204;Umweltschutztechnik (o.S.) - Experte;Experten;
4221;Schornsteinfeger/innen;;
42212;Schornsteinfeger/innen - Fachkraft;Fachkraefte;
4228;Berufe i.d. Umweltschutztechnik (s.s.T.);;
42283;Umweltschutztechnik(s.s.T.) - Spezialist;Spezialisten;
4229;Aufsicht - Umweltschutztechnik;;Aufsicht
42293;Aufsicht - Umweltschutztechnik;;Aufsicht
423;Umweltmanagement und -beratung;;
4231;Berufe Umweltschutzverwaltung, -beratung;;
42312;Umweltschutzverwalt.,-beratung-Fachkraft;Fachkraefte;
42313;Umweltschutzverwalt,-beratung-Spezialist;Spezialisten;
42314;Umweltschutzverwaltung,-beratung-Experte;Experten;
4232;Gewässer-Immissionsschutz,Abfallbeauftr.;;
42323;Gewäs.Immissions,Abfallbeauf.-Spezialist;Spezialisten;
42324;Gewäs.Immissions,Abfallbeauf.-Experte;Experten;
4233;Strahlenschutzbeauftragte;;
42333;Strahlenschutzbeauftragte - Spezialist;Spezialisten;
42334;Strahlenschutzbeauftragte - Experte;Experten;
4239;Führung - Umweltmanagement und -beratung;;Führung
42394;Führung - Umweltmanagement und -beratung;;Führung
43;Informatik- und andere IKT-Berufe;;
431;Informatik;;
4310;Berufe in der Informatik (o.S.);;
43102;Informatik (o.S.) - Fachkraft;Fachkraefte;
43103;Informatik (o.S.) - Spezialist;Spezialisten;
43104;Informatik (o.S.) - Experte;Experten;
4311;Berufe in der Wirtschaftsinformatik;;
43112;Wirtschaftsinformatik - Fachkraft;Fachkraefte;
43113;Wirtschaftsinformatik - Spezialist;Spezialisten;
43114;Wirtschaftsinformatik - Experte;Experten;
4312;Berufe in der technischen Informatik;;
43122;Technische Informatik - Fachkraft;Fachkraefte;
43123;Technische Informatik - Spezialist;Spezialisten;
43124;Technische Informatik - Experte;Experten;
4313;Berufe in der Bio- und Medizininformatik;;
43134;Bio-, Medizininformatik - Experte;Experten;
4314;Berufe in der Geoinformatik;;
43144;Geoinformatik - Experte;Experten;
4315;Berufe in der Medieninformatik;;
43152;Medieninformatik - Fachkraft;Fachkraefte;
43153;Medieninformatik - Spezialist;Spezialisten;
43154;Medieninformatik - Experte;Experten;
4319;Führung - Informatik;;Führung
43194;Führung - Informatik;;Führung
432;IT-Systemanalyse,Anwenderber,IT-Vertrieb;;
4321;Berufe in der IT-Systemanalyse;;
43214;IT-Systemanalyse - Experte;Experten;
4322;Berufe in der IT-Anwendungsberatung;;
43223;IT-Anwendungsberatung - Spezialist;Spezialisten;
43224;IT-Anwendungsberatung - Experte;Experten;
4323;Berufe im IT-Vertrieb;;
43232;IT-Vertrieb - Fachkraft;Fachkraefte;
43233;IT-Vertrieb - Spezialist;Spezialisten;
4329;Führung-IT-System,-Anwendung,-Vertrieb;;Führung
43294;Führung-IT-System,-Anwendung,-Vertrieb;;Führung
433;IT-Netzwerkt.,-Koord.,-Administr.,-Orga.;;
4331;Berufe in der IT-Netzwerktechnik;;
43312;IT-Netzwerktechnik - Fachkraft;Fachkraefte;
43313;IT-Netzwerktechnik - Spezialist;Spezialisten;
43314;IT-Netzwerktechnik - Experte;Experten;
4332;Berufe in der IT-Koordination;;
43323;IT-Koordination - Spezialist;Spezialisten;
4333;Berufe in der IT-Organisation;;
43333;IT-Organisation - Spezialist;Spezialisten;
4334;Berufe in der IT-Systemadministration;;
43343;IT-Systemadministration - Spezialist;Spezialisten;
4335;Berufe Datenbankentwickl., -administr.;;
43353;Datenbankentwick.,-administr.-Spezialist;Spezialisten;
4336;Berufe in der Webadministration;;
43363;Webadministration - Spezialist;Spezialisten;
4338;IT-Netzwerkt.,-Koord.,-Admin.,-Org.(ssT);;
43383;IT-Netzw,Koord,Admin,Org(ssT)-Spezialist;Spezialisten;
43384;IT-Netzw.,Koord.,Admin,Orga(ssT)-Experte;Experten;
4339;Führung-IT-Netzw.,-Koord.,-Admin.,-Orga.;;Führung
43394;Führung-IT-Netzw.,-Koord.,-Admin.,-Orga.;;Führung
434;Softwareentwicklung und Programmierung;;
4341;Berufe in der Softwareentwicklung;;
43412;Softwareentwicklung - Fachkraft;Fachkraefte;
43413;Softwareentwicklung - Spezialist;Spezialisten;
43414;Softwareentwicklung - Experte;Experten;
4342;Berufe in der Programmierung;;
43423;Programmierung - Spezialist;Spezialisten;
4349;Führung-Softwareentwickl.,Programmierung;;Führung
43494;Führung-Softwareentwickl.,Programmierung;;Führung
5;Verkehr, Logistik, Schutz und Sicherheit;;
51;Verkehr, Logistik (außer Fahrzeugführ.);;
511;Tech.Betrieb Eisenb.,Luft,Schiffsverkehr;;
5111;Berufe im technischen Eisenbahnbetrieb;;
51112;Technischer Eisenbahnbetrieb - Fachkraft;Fachkraefte;
51113;Technischer Eisenbahnbetrieb -Spezialist;Spezialisten;
5112;Berufe technischer Luftverkehrsbetrieb;;
51122;Techn. Luftverkehrsbetrieb - Fachkraft;Fachkraefte;
51123;Techn. Luftverkehrsbetrieb - Spezialist;Spezialisten;
5113;Berufe technisch. Schiffsverkehrsbetrieb;;
51132;Techn. Schiffsverkehrsbetrieb-Fachkraft;Fachkraefte;
51133;Techn. Schiffsverkehrsbetrieb-Spezialist;Spezialisten;
51134;Techn. Schiffsverkehrsbetrieb - Experte;Experten;
5118;TechBetriebEisenb.Luft,Schiffsverk.(ssT);;
51182;TechBetEisenbLuftSchiffsv(ssT)-Fachkraft;Fachkraefte;
51183;TechBetEisenbLuftSchiffv(ssT)-Spezialist;Spezialisten;
5119;Aufsicht-TechBetr.Eisenb.LuftSchiffsverk;;Aufsicht
51193;Aufsicht-TechBetr.Eisenb.LuftSchiffsverk;;Aufsicht
512;Überwachung,WartungVerkehrsinfrastruktur;;
5121;Straßen- und Tunnelwärter/innen;;
51212;Straßen-, Tunnelwärter/innen - Fachkraft;Fachkraefte;
5122;Überwach.,Wartung Eisenbahninfrastruktur;;
51222;Wart. Eisenbahninfrastruktur - Fachkraft;Fachkraefte;
51223;Wart. Eisenbahninfrastruktur -Spezialist;Spezialisten;
51224;Wart. Eisenbahninfrastruktur - Experte;Experten;
5123;Berufe in der Flugsicherungstechnik;;
51233;Flugsicherungstechnik - Spezialist;Spezialisten;
51234;Flugsicherungstechnik - Experte;Experten;
5124;Wasserstraßen- und Brückenwärter/innen;;
51242;Wasserstraßen-,Brückenwärter - Fachkraft;Fachkraefte;
51243;Wasserstraßen-, Brückenwärter-Spezialist;Spezialisten;
5129;Aufsicht - Überw.,Wart.Verkehrsinfraktur;;Aufsicht
51293;Aufsicht - Überw.,Wart.Verkehrsinfraktur;;Aufsicht
513;Lagerwirt.,Post,Zustellung,Güterumschlag;;
5131;Berufe in der Lagerwirtschaft;;
51311;Lagerwirtschaft - Helfer;Helfer;
51312;Lagerwirtschaft - Fachkraft;Fachkraefte;
5132;Berufe für Post- und Zustelldienste;;
51321;Post- und Zustelldienste - Helfer;Helfer;
51322;Post- und Zustelldienste - Fachkraft;Fachkraefte;
5133;Berufe im Güter- und Warenumschlag;;
51332;Güter- und Warenumschlag - Fachkraft;Fachkraefte;
5139;Aufsicht,Führung-Lagerw.Zustell.Güterum.;;Aufsicht
51393;Aufsicht-Lagerw.,Post,Zustell.,Güterum.;;Aufsicht
51394;Führung-Lagerw.,Post,Zustell.,Güterum.;;Führung
514;Servicekräfte im Personenverkehr;;
5140;Servicekräfte Personenverkehr (o.S.);;
51401;Servicekräfte Personenverk.(o.S.)-Helfer;Helfer;
5141;Servicefachkraefte Straßen-,Schienenverk.;;
51412;Servicefachk.StraßenSchienenv.-Fachkraft;Fachkraefte;
5142;Servicefachkraefte im Luftverkehr;;
51422;Servicefachkraefte Luftverkehr-Fachkraft;Fachkraefte;
5143;Servicefachkraefte im Schiffsverkehr;;
51432;Servicefachkraefte Schiffsverk.-Fachkraft;Fachkraefte;
5149;Aufsicht-Personenverkehr(Servicebereich);;Aufsicht
51493;Aufsicht-Personenverkehr(Servicebereich);;Aufsicht
515;Überwachung u. Steuerung Verkehrsbetrieb;;
5150;Berufe Überwachung Verkehrsbetrieb (oS);;
51503;Überwach. Verkehrsbetrieb(oS)-Spezialist;Spezialisten;
51504;Überwach. Verkehrsbetrieb (oS) - Experte;Experten;
5151;Berufe Überwachung Straßenverkehrsbetr.;;
51511;Überwach. Straßenverkehrsbetr. - Helfer;Helfer;
51512;Überwach. Straßenverkehrsbetr.-Fachkraft;Fachkraefte;
51513;Überwach. Straßenverkehrsbetr-Spezialist;Spezialisten;
5152;Berufe Überwachung Eisenbahnverkehrsbetr;;
51522;Überwach.Eisenbahnverkehrsbetr-Fachkraft;Fachkraefte;
51523;Überwach.Eisenbahnverkehrsbet-Spezialist;Spezialisten;
5153;Berufe Überwachung Luftverkehrsbetrieb;;
51532;Überwachung Luftverkehrsbetr.-Fachkraft;Fachkraefte;
51533;Überwachung Luftverkehrsbetr.-Spezialist;Spezialisten;
51534;Überwachung Luftverkehrsbetr. -Experte;Experten;
5154;Berufe Überwachung Schiffsverkehrsbetr.;;
51543;Überwach.Schiffsverkehrsbetr.-Spezialist;Spezialisten;
5158;Berufe Überwachung Verkehrsbetrieb (ssT);;
51583;Überwach.Verkehrsbetrieb(ssT)-Spezialist;Spezialisten;
5159;Aufsicht,Führung-Überwach. Verkehrsbetr.;;Aufsicht
51593;Aufsicht - Überwachung Verkehrsbetrieb;;Aufsicht
51594;Führung - Überwachung Verkehrsbetrieb;;Führung
516;Kaufleute - Verkehr und Logistik;;
5161;Verkehrskaufleute;;
51613;Verkehrskaufleute - Spezialist;Spezialisten;
51614;Verkehrskaufleute - Experte;Experten;
5162;Speditions- und Logistikkaufleute;;
51622;Speditions-,Logistikkaufleute-Fachkraft;Fachkraefte;
51623;Speditions-,Logistikkaufleute-Spezialist;Spezialisten;
51624;Speditions-, Logistikkaufleute - Experte;Experten;
5163;Straßen- und Schienenverkehrskaufleute;;
51632;Straßen,Schienenverkehrskaufl.-Fachkraft;Fachkraefte;
51633;Straße,Schienenverkehrskaufl.-Spezialist;Spezialisten;
5164;Luftverkehrskaufleute;;
51642;Luftverkehrskaufleute - Fachkraft;Fachkraefte;
51643;Luftverkehrskaufleute - Spezialist;Spezialisten;
5165;Schifffahrtskaufleute;;
51652;Schifffahrtskaufleute - Fachkraft;Fachkraefte;
51653;Schifffahrtskaufleute - Spezialist;Spezialisten;
5166;Kurier-Express-Postdienstleistungskaufl.;;
51662;KurierExpressPostdienstl.kaufl-Fachkraft;Fachkraefte;
51663;KurierExpressPostdienst.kaufl-Spezialist;Spezialisten;
5169;Führung-Verkehr,Logistik (kaufm.Bereich);;Führung
51694;Führung-Verkehr,Logistik (kaufm.Bereich);;Führung
52;Führer von Fahrzeug- u. Transportgeräten;;
521;Fahrzeugführung im Straßenverkehr;;
5211;Berufskraftfahrer(Personentransport/PKW);;
52112;Berufskraftfahrer(Pers./PKW.)-Fachkraft;Fachkraefte;
5212;Berufskraftfahrer (Güterverkehr/LKW);;
52122;Berufskraftfahrer(Güterv./LKW)-Fachkraft;Fachkraefte;
5213;Bus-, Straßenbahnfahrer/innen;;
52132;Bus-, Straßenbahnfahrer/innen-Fachkraft;Fachkraefte;
5218;Fahrzeugführer im Straßenverkehr(s.s.T.);;
52182;FahrzeugführerStraßenverk(ssT)-Fachkraft;Fachkraefte;
522;Fahrzeugführung im Eisenbahnverkehr;;
5220;Triebfahrzeugführer Eisenbahnverkehr(oS);;
52202;TriebfahrzeugführEisenbahn(oS)-Fachkraft;Fachkraefte;
523;Fahrzeugführung im Flugverkehr;;
5231;Piloten und Verkehrsflugzeugführer;;
52313;PilotenVerkehrsflugzeugführer-Spezialist;Spezialisten;
52314;Piloten,Verkehrsflugzeugführer - Experte;Experten;
5238;Fahrzeugführer im Flugverkehr (s.s.T.);;
52383;Fahrzeugführer Flugverk.(ssT)-Spezialist;Spezialisten;
52384;Fahrzeugführer Flugverkehr (ssT)-Experte;Experten;
524;Fahrzeugführung im Schiffsverkehr;;
5241;Nautische Schiffsoffiziere und Kapitäne;;
52413;NautSchiffsoffiziere,Kapitäne-Spezialist;Spezialisten;
52414;Naut.Schiffsoffiziere, Kapitäne-Experte;Experten;
5242;Schiffsführer Binnen-,Hafenverkehr;;
52422;Schiffsführ.Binnen-,Hafenverk.-Fachkraft;Fachkraefte;
52423;Schiffsführ.Binnen,Hafenverk.-Spezialist;Spezialisten;
525;Bau- und Transportgeräteführung;;
5251;Führer land-,forstwirtschaftl. Maschinen;;
52512;Führer land-,forstw. Maschinen-Fachkraft;Fachkraefte;
5252;Führer Erdbewegungs-,verwandte Maschinen;;
52522;Führer Erdbeweg,verw.Maschinen-Fachkraft;Fachkraefte;
5253;Kranführer, Bediener Hebeeinrichtungen;;
52531;Kranführ., Bediener Hebeeinricht.-Helfer;Helfer;
52532;Kranführ.BedienerHebeeinricht.-Fachkraft;Fachkraefte;
5259;Aufsicht - Bau-, Transportgeräteführung;;Aufsicht
52593;Aufsicht - Bau-, Transportgeräteführung;;Aufsicht
53;Schutz-,Sicherheits-, Überwachungsberufe;;
531;Obj.-,Pers.-,Brandschutz,Arbeitssicherh.;;
5311;Berufe im Objekt-,Werte-, Personenschutz;;
53111;Objekt-, Werte-, Personenschutz - Helfer;Helfer;
53112;Objekt-,Werte-, Personenschutz-Fachkraft;Fachkraefte;
5312;Berufe Arbeitssicherh. Sicherheitstech.;;
53122;Arbeitssicherh.,Sich.-technik-Fachkraft;Fachkraefte;
53123;Arbeitssicherh.,Sich.-technik-Spezialist;Spezialisten;
53124;Arbeitssicherh.,Sich.-technik-Experte;Experten;
5313;Berufe im Brandschutz;;
53132;Brandschutz - Fachkraft;Fachkraefte;
53133;Brandschutz - Spezialist;Spezialisten;
53134;Brandschutz - Experte;Experten;
5314;Berufe in der Badeaufsicht;;
53142;Badeaufsicht - Fachkraft;Fachkraefte;
5315;Detektive/Detektivinnen;;
53152;Detektive/Detektivinnen - Fachkraft;Fachkraefte;
5316;Inkassobeauftragte;;
53162;Inkassobeauftragte - Fachkraft;Fachkraefte;
5318;Obj.Pers.Brandschutz,Arbeitssicherh(ssT);;
53182;Obj.Pers.Brandschutz (ssT)-Fachkraft;Fachkraefte;
53183;Obj.Pers.Brandschutz (ssT)-Spezialist;Spezialisten;
53184;Obj.Pers.Brandschutz (ssT)-Experte;Experten;
5319;Aufsicht,Führung-Objekt-,Brandschutz;;Aufsicht
53193;Aufsicht-Objekt,Brandschutz,Arbeitssich.;;Aufsicht
53194;Führung-Objekt-,Brandschutz,Arbeitssich.;;Führung
532;Polizei,Kriminald.,Gerichts,Justizvollz.;;
5321;Berufe im Polizeivollzugsdienst;;
53212;Polizeivollzugsdienst - Fachkraft;Fachkraefte;
53213;Polizeivollzugsdienst - Spezialist;Spezialisten;
53214;Polizeivollzugsdienst - Experte;Experten;
5322;Berufe im Kriminaldienst;;
53222;Kriminaldienst - Fachkraft;Fachkraefte;
53223;Kriminaldienst - Spezialist;Spezialisten;
53224;Kriminaldienst - Experte;Experten;
5323;Berufe im Gerichtsvollzug;;
53232;Gerichtsvollzug - Fachkraft;Fachkraefte;
53233;Gerichtsvollzug - Spezialist;Spezialisten;
5324;Berufe im Justizvollzugsdienst;;
53241;Justizvollzugsdienst - Helfer;Helfer;
53242;Justizvollzugsdienst - Fachkraft;Fachkraefte;
53243;Justizvollzugsdienst - Spezialist;Spezialisten;
53244;Justizvollzugsdienst - Experte;Experten;
533;Gewerbe,Gesundheitsaufsicht,Desinfektion;;
5331;Berufe in der Gewerbeaufsicht;;
53312;Gewerbeaufsicht - Fachkraft;Fachkraefte;
53313;Gewerbeaufsicht - Spezialist;Spezialisten;
53314;Gewerbeaufsicht - Experte;Experten;
5332;Gesundheitsaufsicht, Hygieneüberwachung;;
53322;Gesundheitsaufs.,Hygieneüberw.-Fachkraft;Fachkraefte;
53323;Gesundheitsaufs.Hygieneüberw.-Spezialist;Spezialisten;
5333;Berufe in der Lebensmittelkontrolle;;
53332;Lebensmittelkontrolle - Fachkraft;Fachkraefte;
53333;Lebensmittelkontrolle - Spezialist;Spezialisten;
5334;Berufe Desinfektion,Schädlingsbekämpfung;;
53342;Desinfekt., Schädlingsbekämpf.-Fachkraft;Fachkraefte;
5339;Aufsicht,Führung-Gewerbe,Gesundheitsauf.;;Aufsicht
53393;Aufsicht-Gewerbe-, Gesundheitsaufsicht;;Aufsicht
53394;Führung-Gewerbe-, Gesundheitsaufsicht;;Führung
54;Reinigungsberufe;;
541;Reinigung;;
5410;Berufe in der Reinigung (o.S.);;
54101;Reinigung (o.S.) - Helfer;Helfer;
5411;Berufe in der Gebäudereinigung;;
54112;Gebäudereinigung - Fachkraft;Fachkraefte;
54113;Gebäudereinigung - Spezialist;Spezialisten;
5412;Berufe in der Glas-, Fensterreinigung;;
54122;Glas-, Fensterreinigung - Fachkraft;Fachkraefte;
5413;Berufe in der Textilreinigung;;
54132;Textilreinigung - Fachkraft;Fachkraefte;
5414;Berufe i.d. Maschinen-, Anlagenreinigung;;
54142;Maschinen-, Anlagenreinigung - Fachkraft;Fachkraefte;
5415;Berufe in der Fahrzeugreinigung;;
54152;Fahrzeugreinigung - Fachkraft;Fachkraefte;
5418;Berufe in der Reinigung (s.s.T.);;
54182;Reinigung (s.s.T.) - Fachkraft;Fachkraefte;
5419;Aufsicht - Reinigung;;Aufsicht
54193;Aufsicht - Reinigung;;Aufsicht
6;Kaufm.Dienstl.,Handel,Vertrieb,Tourismus;;
61;Einkaufs-, Vertriebs- und Handelsberufe;;
611;Einkauf und Vertrieb;;
6111;Berufe im Einkauf;;
61112;Einkauf - Fachkraft;Fachkraefte;
61113;Einkauf - Spezialist;Spezialisten;
6112;Berufe im Vertrieb (außer IKT);;
61122;Vertrieb (außer IKT) - Fachkraft;Fachkraefte;
61123;Vertrieb (außer IKT) - Spezialist;Spezialisten;
61124;Vertrieb (außer IKT) - Experte;Experten;
6113;Handelsmakler/innen u. Auktionator/innen;;
61132;Handelsmakler,Auktionatoren - Fachkraft;Fachkraefte;
61133;Handelsmakler,Auktionatoren - Spezialist;Spezialisten;
6114;Kaufleute im Automatenservice;;
61142;Kaufleute Automatenservice - Fachkraft;Fachkraefte;
6115;Berufe im Geld- und Pfandverleih;;
61152;Geld- und Pfandverleih - Fachkraft;Fachkraefte;
6116;Berufe im Verleih (außer Geld u. Pfand);;
61162;Verleih (außer Geld u. Pfand) -Fachkraft;Fachkraefte;
6119;Führung - Einkauf und Vertrieb;;Führung
61194;Führung - Einkauf  und Vertrieb;;Führung
612;Handel;;
6120;Kaufleute im Handel (o.S.);;
61203;Kaufleute im Handel (o.S.) - Spezialist;Spezialisten;
61204;Kaufleute im Handel (o.S.) - Experte;Experten;
6121;Kaufleute im Groß- und Außenhandel;;
61212;Kaufleute Groß-, Außenhandel - Fachkraft;Fachkraefte;
61213;Kaufleute Groß-, Außenhandel -Spezialist;Spezialisten;
61214;Kaufleute Groß-, Außenhandel - Experte;Experten;
6128;Kaufleute im Handel (s.s.T.);;
61282;Kaufleute im Handel (s.s.T) - Fachkraft;Fachkraefte;
61283;Kaufleute im Handel (s.s.T) - Spezialist;Spezialisten;
61284;Kaufleute im Handel (s.s.T.) - Experte;Experten;
6129;Führung - Handel;;Führung
61294;Führung - Handel;;Führung
613;Immobilienwirtschaft,Facility-Management;;
6131;Berufe Immobilienvermarktung,-verwaltung;;
61312;Immobilienvermarktung,-verwal.-Fachkraft;Fachkraefte;
61313;Immobilienvermarktung,verwal.-Spezialist;Spezialisten;
61314;Immobilienvermarktung,-verwal.-Experte;Experten;
6132;Berufe im Facility-Management;;
61323;Facility-Management - Spezialist;Spezialisten;
6139;Führung-Immobilienwirt., Facility-Manag.;;Führung
61394;Führung-Immobilienwirt., Facility-Manag.;;Führung
62;Verkaufsberufe;;
621;Verkauf (ohne Produktspezialisierung);;
6210;Berufe im Verkauf (ohne Produktspezial.);;
