,n,n_MASCULINE,n_FEMININE,skew_toward,p_value,language,model
0,226,141,85,MASCULINE,0.0002372722850219294,es,google
1,218,92,126,FEMININE,0.025189722979441054,fr,google
2,240,185,55,MASCULINE,1.2441220987657612e-17,it,google
3,195,89,106,FEMININE,0.25182239587374894,ar,google
4,226,176,50,MASCULINE,1.2175596600084536e-17,ru,google
5,238,201,37,MASCULINE,1.7989340839776857e-28,uk,google
6,287,39,248,FEMININE,2.2473888506250088e-38,he,google
