,language,None,coefficient,odds_ratio,p_value,ci_lower,ci_upper,n_observations
0,es,,0.22373788236137895,1.2507431346210756,0.00018383583466494938,1.1123722862497698,1.4063262885448191,4240
1,fr,,0.08636195224456211,1.090200857547862,0.09194904376416503,0.9860180483159128,1.2053916374330857,4240
2,it,,0.3939565386099704,1.4828361011561315,2.291407857858137e-25,1.3768052914459072,1.5970325771937992,4240
3,ar,,0.29057917502286806,1.337201737637786,2.4137803836307473e-20,1.2572883197697058,1.4221944632946544,4240
4,ru,,0.5944261478245386,1.8119908316723918,7.471372363275701e-72,1.697966844268093,1.9336719001012497,4240
5,uk,,0.4900460434321058,1.6323913791267075,1.0962158298144728e-51,1.53195803664961,1.7394090117996266,4240
6,he,,0.16199786731103444,1.175857733579512,3.273195355031739e-07,1.1049789667695407,1.2512830118938514,4240
