,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,4,4,4,4,4,4,4
total,1060,1060,1060,1060,1060,1060,1060
correct,1003,962,815,649,561,499,753
accuracy,0.9462264150943396,0.9075471698113208,0.7688679245283019,0.6122641509433963,0.529245283018868,0.4707547169811321,0.710377358490566
true_error_count,27,41,137,199,446,438,307
unknown_count,30,57,108,212,53,123,0
error_m_to_f,7,4,48,26,22,12,136
error_m_to_u,17,30,29,74,26,55,0
error_f_to_m,20,37,89,173,419,419,171
error_f_to_u,13,27,79,138,27,68,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,2,3,0
error_f_to_n,0,0,0,0,3,4,0
