,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,3,3,3,3,3,3,3
total,1060,1060,1060,1060,1060,1060,1060
correct,975,946,800,525,524,498,602
accuracy,0.9198113207547169,0.8924528301886793,0.7547169811320755,0.49528301886792453,0.49433962264150944,0.469811320754717,0.5679245283018868
true_error_count,43,56,162,367,484,463,458
unknown_count,42,58,98,168,52,99,0
error_m_to_f,13,11,58,39,22,12,167
error_m_to_u,21,28,35,70,27,44,0
error_f_to_m,30,45,104,328,441,435,291
error_f_to_u,21,30,63,98,25,55,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,11,7,0
error_f_to_n,0,0,0,0,10,9,0
