,0,1,2,3,4,5,6
language,ar,es,fr,he,it,ru,uk
filterValue,1,1,1,1,1,1,1
total,1118,1118,1118,1118,1118,1118,1118
correct,512,953,944,584,796,495,498
accuracy,0.45796064400715564,0.8524150268336315,0.8443649373881932,0.5223613595706619,0.7119856887298748,0.44275491949910556,0.44543828264758495
true_error_count,418,106,122,534,181,477,487
unknown_count,188,59,52,0,141,146,133
sentence_style,1,1,1,1,1,1,1
error_m_to_f,19,19,30,172,36,42,55
error_m_to_u,68,26,27,0,61,62,55
error_f_to_m,354,34,38,304,98,380,377
error_f_to_u,107,28,21,0,69,70,66
error_d_to_m,40,16,24,29,21,26,22
error_d_to_f,5,37,30,29,26,14,20
error_d_to_u,13,5,4,0,11,14,12
error_m_to_n,0,0,0,0,0,5,4
error_f_to_n,0,0,0,0,0,6,5
