,language,sentence_style,total,correct,accuracy,true_error_count,unknown_count,error_m_to_f,error_m_to_u,error_f_to_m,error_f_to_u,error_d_to_m,error_d_to_f,error_d_to_u,error_m_to_n,error_f_to_n,scope,pairing
60,ru,5,530,270,0.5094339622641509,198,62,18,21,178,41,0,0,0,2,0,romantic,same_gender
61,uk,5,530,270,0.5094339622641509,196,64,20,22,172,42,0,0,0,1,3,romantic,same_gender
62,he,5,530,321,0.6056603773584905,209,0,83,0,126,0,0,0,0,0,0,romantic,same_gender
63,es,5,530,505,0.9528301886792453,9,16,5,9,4,7,0,0,0,0,0,romantic,diff_gender
64,fr,5,530,480,0.9056603773584906,23,27,9,14,14,13,0,0,0,0,0,romantic,diff_gender
65,it,5,530,426,0.8037735849056604,47,57,16,23,31,34,0,0,0,0,0,romantic,diff_gender
66,ar,5,530,272,0.5132075471698113,152,106,10,44,142,62,0,0,0,0,0,romantic,diff_gender
67,ru,5,530,271,0.5113207547169811,201,58,19,22,181,36,0,0,0,0,1,romantic,diff_gender
68,uk,5,530,260,0.49056603773584906,206,64,22,29,180,35,0,0,0,3,1,romantic,diff_gender
69,he,5,530,358,0.6754716981132075,172,0,83,0,89,0,0,0,0,0,0,romantic,diff_gender
