,n,n_discordant,accuracy_a,accuracy_b,statistic,p_value,language,model,significance
0,530,4,0.9528301886792453,0.9490566037735849,0.25,0.6170750774519739,es,systran,
1,530,8,0.9056603773584906,0.9169811320754717,3.125,0.07709987174354202,fr,systran,
2,530,22,0.8037735849056604,0.8,0.045454545454545456,0.8311704095417624,it,systran,
3,530,43,0.5132075471698113,0.5075471698113208,0.09302325581395349,0.7603683300552028,ar,systran,
4,530,25,0.5113207547169811,0.5094339622641509,0.0,1.0,ru,systran,
5,530,28,0.49056603773584906,0.5094339622641509,2.892857142857143,0.08897301170181328,uk,systran,
6,530,71,0.6754716981132075,0.6056603773584905,18.253521126760564,1.9336816600800142e-05,he,systran,***
