,n,n_MASCULINE,n_FEMININE,skew_toward,p_value,language,model,significance
0,46,28,18,MASCULINE,0.18392482137699062,es,systran,
1,88,62,26,MASCULINE,0.00015714867103001836,fr,systran,***
2,71,52,19,MASCULINE,0.000112268646894988,it,systran,***
3,193,131,62,MASCULINE,7.5912048664848e-07,ar,systran,***
4,220,200,20,MASCULINE,1.567901728147051e-38,ru,systran,***
5,221,200,21,MASCULINE,8.295622219859802e-38,uk,systran,***
6,254,71,183,FEMININE,1.4248021565875987e-12,he,systran,***
