,language,sentence_style,total,correct,accuracy,true_error_count,unknown_count,error_m_to_f,error_m_to_u,error_f_to_m,error_f_to_u,error_d_to_m,error_d_to_f,error_d_to_u,error_m_to_n,error_f_to_n,scope,pairing
60,ru,5,530,384,0.7245283018867924,99,47,9,21,88,26,0,0,0,2,0,romantic,same_gender
61,uk,5,530,426,0.8037735849056604,52,52,16,23,32,29,0,0,0,1,3,romantic,same_gender
62,he,5,530,459,0.8660377358490566,71,0,69,0,2,0,0,0,0,0,0,romantic,same_gender
63,es,5,530,514,0.969811320754717,2,14,1,6,1,8,0,0,0,0,0,romantic,diff_gender
64,fr,5,530,499,0.9415094339622642,12,19,7,11,5,8,0,0,0,0,0,romantic,diff_gender
65,it,5,530,473,0.8924528301886793,23,34,11,13,12,21,0,0,0,0,0,romantic,diff_gender
66,ar,5,530,337,0.6358490566037736,81,112,5,27,76,85,0,0,0,0,0,romantic,diff_gender
67,ru,5,530,365,0.6886792452830188,101,64,12,27,85,37,0,0,0,2,2,romantic,diff_gender
68,uk,5,530,415,0.7830188679245284,55,60,8,25,42,35,0,0,0,3,2,romantic,diff_gender
69,he,5,530,470,0.8867924528301887,60,0,56,0,4,0,0,0,0,0,0,romantic,diff_gender
