,language,coefficient,odds_ratio,p_value,ci_lower,ci_upper,n_observations,significance
0,es,0.19862347552392365,1.219722624006604,5.631351634239808e-06,1.1194880853508,1.3289317671008225,6348,***
1,fr,0.23341733005651938,1.2629084190076134,4.090492017814033e-09,1.1683815381280247,1.3650829140588023,6348,***
2,it,0.29221193532680506,1.3393868509510531,8.161355046396542e-18,1.2530682009030694,1.4316516333330447,6348,***
3,ar,0.22815023865679815,1.2562740521811326,2.2832920957222183e-16,1.1896496645227568,1.326629629922796,6348,***
4,ru,0.3341924433708811,1.396811924906399,1.5746880947955963e-33,1.323014021826943,1.4747262851125935,6348,***
5,uk,0.2620181259102272,1.2995500977443077,1.2002426620422447e-16,1.221425665063422,1.3826715000781877,6348,***
6,he,-0.32815396911332756,0.7202521145880837,1.5629645484132727e-19,0.6707900882916141,0.7733613206626319,6348,***
