,language,coefficient,odds_ratio,p_value,ci_lower,ci_upper,n_observations,significance
0,es,0.5292956641897036,1.697736111066159,1.7909038627533867e-71,1.6020192034874952,1.7991718804265528,6348,***
1,fr,0.5297594746873239,1.6985237215335427,1.269792950757502e-75,1.6053394875627574,1.7971169680702026,6348,***
2,it,0.5484859683762978,1.7306308035450775,2.8748801408541284e-86,1.6386560170138458,1.827767967823459,6348,***
3,ar,0.26619298801429214,1.3049868812136642,6.545320831588929e-25,1.2405744797312446,1.3727436667153583,6348,***
4,ru,0.551637015079462,1.7360927028635937,7.271120450494319e-94,1.6471252398246006,1.8298656350243139,6348,***
5,uk,0.4274363939352374,1.533321648010583,3.8031683909668158e-59,1.4561239967765676,1.6146119983342646,6348,***
6,he,0.08698767760020971,1.0908832373360817,0.0015245665165662533,1.0337613159918315,1.151161510003972,6348,**
