,n,n_MASCULINE,n_FEMININE,skew_toward,p_value,language,model,significance
0,188,105,83,MASCULINE,0.12540008404533753,es,microsoft,
1,193,93,100,FEMININE,0.6659330459055757,fr,microsoft,
2,201,140,61,MASCULINE,2.5126097038640714e-08,it,microsoft,***
3,186,115,71,MASCULINE,0.0015466250339729128,ar,microsoft,**
4,213,193,20,MASCULINE,1.0238999124749158e-36,ru,microsoft,***
5,222,172,50,MASCULINE,7.174110882709938e-17,uk,microsoft,***
6,258,71,187,FEMININE,3.2142488980965114e-13,he,microsoft,***
