,language,sentence_style,total,correct,accuracy,true_error_count,unknown_count,error_m_to_f,error_m_to_u,error_f_to_m,error_f_to_u,error_d_to_m,error_d_to_f,error_d_to_u,error_m_to_n,error_f_to_n,scope,pairing
56,es,5,530,422,0.7962264150943397,91,17,16,9,75,8,0,0,0,0,0,romantic,same_gender
57,fr,5,530,396,0.7471698113207547,110,24,24,10,86,14,0,0,0,0,0,romantic,same_gender
58,it,5,530,357,0.6735849056603773,131,42,22,20,109,22,0,0,0,0,0,romantic,same_gender
59,ar,5,530,309,0.5830188679245283,97,124,12,39,85,85,0,0,0,0,0,romantic,same_gender
60,ru,5,530,291,0.5490566037735849,167,72,13,35,154,37,0,0,0,0,0,romantic,same_gender
61,uk,5,530,340,0.6415094339622641,127,63,16,28,110,35,0,0,0,0,1,romantic,same_gender
62,he,5,530,409,0.7716981132075472,121,0,74,0,47,0,0,0,0,0,0,romantic,same_gender
63,es,5,530,440,0.8301886792452831,74,16,15,7,59,9,0,0,0,0,0,romantic,diff_gender
64,fr,5,530,415,0.7830188679245284,91,24,21,10,70,14,0,0,0,0,0,romantic,diff_gender
65,it,5,530,354,0.6679245283018868,123,53,23,23,100,30,0,0,0,0,0,romantic,diff_gender
66,ar,5,530,319,0.6018867924528302,107,104,9,33,98,71,0,0,0,0,0,romantic,diff_gender
67,ru,5,530,297,0.560377358490566,165,68,17,27,147,41,0,0,0,0,1,romantic,diff_gender
68,uk,5,530,356,0.6716981132075471,117,57,17,31,99,26,0,0,0,0,1,romantic,diff_gender
69,he,5,530,432,0.8150943396226416,98,0,66,0,32,0,0,0,0,0,0,romantic,diff_gender
