3_digit_code;Name;Niveau;Männer;Frauen;Berufe
114;Fischwirtschaft;Experten;50;x;['Fischereiingenieur/in (Fischproduktion)', 'Fischereiingenieur/in (Binnenfischerei)', 'Ingenieur/in - Fischereitechnik']
114;Fischwirtschaft;Fachkraefte;1.140;120;['Muschelzüchter/in', 'Stellnetzfischer/in', 'Fischer/in', 'Teichbauer/-bäuerin', 'Besatzfischzüchter/in', 'Teichwirt/in', 'Fischwirt/in - Küstenfischerei und Kleine Hochseefischerei', 'Fischwart/in', 'Zierfischzüchter/in', 'Fischzüchter/in', 'Binnenfischer/in', 'Hochseefischer/in (Matrose/Matrosin)', 'Vollmatrose/-matrosin Hochseefischerei', 'Fischwirt/in - Kleine Hochsee- und Küstenfischerei', 'Makrelenfischer/in', 'Fischwirt/in (mit Schwerpunkten)', 'Karpfenfischwirt/in', 'Karpfenteichwirt/in', 'Karpfenhalter/in', 'Satzfischzüchter/in', 'Karpfenproduzent/in', 'Wattenfischer/in', 'Forellenproduzent/in', 'Flussfischer/in', 'Karpfenbauer/-bäuerin', 'Fischwirt/in - Fischhaltung und Fischzucht', 'Kutterfischer/in (Krabbenfischerei)', 'Garnelenfischer/in', 'Treibnetzfischer/in', 'Fischzuchtgehilfe/-gehilfin', 'Seenfischer/in', 'Fischhalter/in', 'Nutzfischzüchter/in', 'Herzmuschelfischer/in', 'Fischwirt/in - Seen- und Flussfischerei', 'Krabbenfischer/in', 'Miesmuschelfischer/in', 'Muschelfischer/in', 'Karpfenwirt/in', 'Karpfenzüchter/in', 'Fischwirt/in - Aquakultur und Binnenfischerei', 'Speisefischzüchter/in', 'Fischereifacharbeiter/in', 'Schleppnetzfischer/in', 'Fischergehilfe/-gehilfin', 'Küstenfischer/in (Matrose/Matrosin)', 'Forellenzüchter/in', 'Heringsfischer/in', 'Köderfischzüchter/in']
114;Fischwirtschaft;Helfer;310;120;['Helfer/in - Fischerei', 'Fischereihelfer/in', 'Fischerhelfer/in', 'Helfer/in - Fischwirtschaft']
114;Fischwirtschaft;Spezialisten;90;x;['Fischereitechniker/in', 'Techniker/in - Fischerei']
115;Tierpflege;Fachkraefte;6.340;10.720;['Tierheimpfleger/in', 'Seehundtrainer/in', 'Zoowärter/in', 'Tierpfleger/in - Haus- und Versuchstierpflege', 'Rindviehpfleger/in', 'Tiertrainer/in', 'Pensionstierpfleger/in', 'Versuchstierpfleger/in', 'Stallmeister/in (Tierpfleger/in)', 'Tierpfleger/in - Nutztierhaltung', 'Kleintierpfleger/in', 'Hundepfleger/in', 'Beschälwärter/in', 'Versuchsassistent/in (Tierzucht und Tierpflege)', 'Delphintrainer/in', 'Tierlehrer/in', 'Deckstationswärter/in', 'Hundedressierer/in', 'Beschälmeister/in', 'Tierpfleger/in - Tierheim und Pensionstierpflege', 'Tierpfleger/in - Versuchstierhaltung', 'Haustierpfleger/in', 'Robbentrainer/in', 'Zootierpfleger/in', 'Hundetrainer/in', 'Aquarienwärter/in', 'Dresseur/in (Tierlehrer/in)', 'Tierpfleger/in - Wildtierhaltung', 'Seelöwentrainer/in', 'Tierpfleger/in - Tierheim und Tierpension', 'Falkner/in', 'Kynopädagoge/-pädagogin', 'Zooinspektor/in', 'Labortierpfleger/in', 'Tierpfleger/in - Forschung und Klinik', 'Hundefriseur/in', 'Tierpfleger/in - Zoo', 'Tierwärter/in', 'Tierpfleger/in - Zootierpflege']
115;Tierpflege;Helfer;2.140;2.330;['Tierpflegerhelfer/in', 'Helfer/in - Tierpflege', 'Viehpfleger/in']
116;Weinbau;Experten;240;80;['Ingenieur/in - Rebanbau', 'Ingenieur/in - Weinbau und Önologie', 'Weinbauberater/in', 'Weinwirtschaftsingenieur/in', 'Önologe/Önologin', 'Dipl.-Ing. (FH) - Weinbau u. Kellerwirtschaft', 'Ingenieur/in - Weinbau und Kellerwirtschaft', 'Dipl.-Ing. (FH) - Weinbau u. Getränketechnologie', 'Weinbauingenieur/in']
116;Weinbau;Fachkraefte;1.970;550;['Rebmann/-frau', 'Weinbauer/-bäuerin', 'Rebgärtner/in', 'Pflanzreberzeuger/in', 'Winzergehilfe/-gehilfin', 'Rebenveredler/in', 'Winzer/in', 'Rebbauer/-bäuerin', 'Weingärtner/in']
116;Weinbau;Spezialisten;500;90;['Techniker/in - Weinbau und Kellerwirtschaft/B. Prof. Technik', 'Weinbautechniker/in', 'Techniker/in - Agrartechnik (Weinbau/Kellerwirtschaft)', 'Reblaussachverständige/r', 'Weinbau- und Kellerwirtschaftstechniker/in', 'Rebentechniker/in']
117;Forst-,Jagdwirtschaft, Landschaftspflege;Experten;2.850;1.650;['Dipl.-Ing. (Uni) - Landschaftsökologie', 'Landeskulturingenieur/in', 'Dipl.-Ing. (FH) - Landschaft./Naturschutz', 'Dipl.-Forstingenieur/in', 'Agrarökologe/-ökologin', 'Forstwissenschaftler/in', 'Dipl.-Forstwirt/in (Uni)', 'Forstingenieur/in', 'Beamt(er/in) - Forstdienst (höh. Dienst)', 'Forstwirtschaftsingenieur/in', 'Ingenieur/in - Landschaftspflege', 'Landschaftsökologe/-ökologin', 'Forstassessor/in', 'Dipl.-Landschaftsökologe/in (Uni)', 'Forstwirtschaftssachverständige/r', 'Ingenieur/in - Naturschutz und Landschaftsplanung', 'Dipl.-Ing. (Uni) - Landeskultur und Umweltschutz', 'Dipl.-Ing. (FH) - Forstwirtschaft', 'Ingenieur/in - Landschaftsökologie', 'Förster/in (Hochschule)', 'Landeskultur- und Umweltschutzingenieur/in', 'Ingenieur/in - Landschaftsnutzung/Naturschutz']
