,language,None,coefficient,odds_ratio,p_value,ci_lower,ci_upper,n_observations
0,es,,0.5747743889312288,1.776729631821401,3.7728726800295044e-54,1.6521364323931986,1.9107188260593475,4240
1,fr,,0.5646344638651597,1.7588047585113178,3.050117751899396e-55,1.6387696007215635,1.8876321462150678,4240
2,it,,0.5723494301902924,1.772426355512942,3.062659699921962e-62,1.6569392663044216,1.8959627848783915,4240
3,ar,,0.2579968424042822,1.2943347316319793,3.7634734145493534e-16,1.2164310358769652,1.3772276011529474,4240
4,ru,,0.5489420344927188,1.7314202656243773,9.253977297211842e-63,1.6235197170493991,1.8464919795757395,4240
5,uk,,0.4417059934491402,1.555358387650141,5.790115431396228e-43,1.4603869333233896,1.6565059977142025,4240
6,he,,0.21253301030950805,1.23680694027133,2.5346567098273255e-10,1.1579749068618346,1.321005661209761,4240
